Date,Open,High,Low,Close,Adj Close,Volume
07/02/1964,6.845124,6.870618,6.845124,6.845124,1.530198,800190
10/02/1964,6.857871,6.915233,6.857871,6.883365,1.538746,658980
11/02/1964,6.896112,6.940727,6.896112,6.908859,1.544445,588375
12/02/1964,6.908859,6.959847,6.896112,6.959847,1.555843,455010
13/02/1964,6.978967,7.061823,6.978967,7.061823,1.578639,886485
14/02/1964,7.061823,7.100064,7.049076,7.080943,1.582913,635445
17/02/1964,7.080943,7.125558,7.049076,7.049076,1.57579,729585
18/02/1964,7.049076,7.087317,7.004461,7.061823,1.578639,643290
19/02/1964,7.061823,7.09369,7.061823,7.061823,1.578639,235350
20/02/1964,7.061823,7.087317,7.036329,7.080943,1.582913,305955
24/02/1964,7.096877,7.128744,7.096877,7.096877,1.586475,470700
25/02/1964,7.119184,7.291268,7.119184,7.265774,1.624233,1074765
26/02/1964,7.278521,7.342256,7.278521,7.335883,1.639904,988470
27/02/1964,7.335883,7.34863,7.208413,7.22116,1.614258,635445
28/02/1964,7.22116,7.291268,7.176546,7.253027,1.621382,682515
02/03/1964,7.253027,7.284895,7.195666,7.195666,1.608559,423630
03/03/1964,7.195666,7.243467,7.170172,7.189293,1.607135,400095
04/03/1964,7.189293,7.208413,7.087317,7.112811,1.590038,541305
05/03/1964,7.112811,7.189293,7.100064,7.170172,1.602861,392250
06/03/1964,7.20204,7.253027,7.20204,7.24028,1.618533,580530
09/03/1964,7.24028,7.278521,7.233907,7.24028,1.618533,698205
10/03/1964,7.24028,7.265774,7.20204,7.246654,1.619957,329490
11/03/1964,7.278521,7.374124,7.278521,7.332696,1.639192,635445
12/03/1964,7.380497,7.456979,7.380497,7.456979,1.666973,698205
13/03/1964,7.49522,7.546208,7.49522,7.501593,1.676948,1380720
16/03/1964,7.488846,7.488846,7.418738,7.450605,1.66555,376560
17/03/1964,7.450605,7.456979,7.425112,7.437859,1.662701,509925
18/03/1964,7.437859,7.463352,7.355003,7.390057,1.652014,525615
19/03/1964,7.390057,7.393244,7.34863,7.35819,1.644891,517770
20/03/1964,7.35819,7.364563,7.310389,7.323136,1.637054,706050
23/03/1964,7.323136,7.405991,7.291268,7.393244,1.652727,494235
24/03/1964,7.405991,7.469726,7.405991,7.418738,1.658424,439320
25/03/1964,7.431485,7.48566,7.431485,7.476099,1.671249,494235
26/03/1964,7.476099,7.51434,7.452199,7.501593,1.676948,439320
30/03/1964,7.501593,7.555768,7.501593,7.507967,1.678373,666825
31/03/1964,7.51434,7.578075,7.51434,7.574888,1.693334,1090455
01/04/1964,7.584449,7.616316,7.584449,7.587635,1.696182,753120
02/04/1964,7.597196,7.64181,7.597196,7.62269,1.704018,596220
03/04/1964,7.62269,7.648184,7.609943,7.629063,1.705445,964935
06/04/1964,7.629063,7.657744,7.609943,7.609943,1.701169,768810
07/04/1964,7.609943,7.667304,7.49522,7.498407,1.676235,1153215
08/04/1964,7.498407,7.51434,7.444232,7.450605,1.66555,706050
09/04/1964,7.460166,7.51434,7.460166,7.460166,1.667687,360870
10/04/1964,7.479286,7.62269,7.479286,7.606756,1.700458,1380720
13/04/1964,7.606756,7.64181,7.523901,7.523901,1.681935,674670
14/04/1964,7.523901,7.558955,7.460166,7.469726,1.669824,368715
15/04/1964,7.469726,7.49522,7.444232,7.444232,1.664125,415785
16/04/1964,7.444232,7.450605,7.409178,7.421925,1.659139,494235
17/04/1964,7.431485,7.501593,7.431485,7.463352,1.6684,415785
20/04/1964,7.463352,7.49522,7.418738,7.418738,1.658424,298110
21/04/1964,7.421925,7.520714,7.421925,7.520714,1.681223,455010
22/04/1964,7.520714,7.571702,7.501593,7.571702,1.692619,439320
23/04/1964,7.571702,7.597196,7.444232,7.444232,1.664125,549150
24/04/1964,7.444232,7.482473,7.383684,7.431485,1.661275,564840
27/04/1964,7.431485,7.453792,7.399618,7.405991,1.655577,525615
28/04/1964,7.405991,7.49522,7.405991,7.437859,1.662701,502080
29/04/1964,7.437859,7.482473,7.34863,7.34863,1.642755,658980
30/04/1964,7.34863,7.36775,7.268961,7.268961,1.624944,400095
01/05/1964,7.278521,7.386871,7.278521,7.386871,1.651303,423630
04/05/1964,7.405991,7.469726,7.405991,7.444232,1.664125,384405
05/05/1964,7.444232,7.469726,7.418738,7.453792,1.666264,266730
06/05/1964,7.453792,7.50478,7.444232,7.444232,1.664125,258885
